epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.5271,1.32702,3.24374,1.11768,0.43354,0.28989,0.25831,0.17191,1.20729,3.14938,1.09002,0.000157572,0.000157572,0.000157572
2,42.9236,1.17252,1.31489,1.05,0.48933,0.32288,0.36332,0.24276,1.15041,2.43352,1.0951,0.000290149,0.000290149,0.000290149
3,77.4827,1.15995,1.23144,1.04867,0.32905,0.36905,0.32216,0.20849,1.23215,2.72391,1.13827,0.000396546,0.000396546,0.000396546
4,97.4974,1.1282,1.02847,1.03114,0.76117,0.30697,0.36578,0.24945,1.17069,2.18136,1.16634,0.00035819,0.00035819,0.00035819
5,117.376,1.09548,0.93365,1.01278,0.66308,0.35647,0.39028,0.27405,1.16595,1.97564,1.12889,0.00031892,0.00031892,0.00031892
6,137.262,1.0554,0.82264,0.98896,0.66015,0.3701,0.38591,0.27898,1.07654,2.08904,1.07385,0.00027965,0.00027965,0.00027965
7,157.012,1.02053,0.74707,0.97254,0.61054,0.36627,0.41417,0.29957,1.12588,1.99079,1.10101,0.00024038,0.00024038,0.00024038
8,176.98,0.97919,0.6769,0.9588,0.68818,0.35033,0.44165,0.31477,1.14264,1.8035,1.14224,0.00020111,0.00020111,0.00020111
9,196.829,0.95147,0.62769,0.95249,0.61185,0.39069,0.41797,0.30623,1.07336,1.93835,1.09164,0.00016184,0.00016184,0.00016184
10,216.595,0.91972,0.59029,0.93825,0.55493,0.42221,0.41184,0.30254,1.09048,1.88166,1.11017,0.00012257,0.00012257,0.00012257
11,236.476,0.8952,0.55712,0.92364,0.61716,0.39387,0.43884,0.32125,1.06237,1.77287,1.0862,8.33e-05,8.33e-05,8.33e-05
12,256.628,0.87053,0.51951,0.91911,0.64437,0.38995,0.43202,0.3223,1.04478,1.79856,1.06647,4.403e-05,4.403e-05,4.403e-05
